Description,Label
"A moderate number of hotspots, possibly aligned along the X or Y axis, indicating localized metal layer density issues. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm簡, which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"This aluminum processing industry picture displays an aluminum profile with a prominent base exposure defect, likely stemming from manufacturing errors or material quality issues. The defect appears to be a result of improper handling during production, leading to a visible flaw in the structural integrity of the aluminum profile.",UNCLEAR
"This device showcases the shared perfection of bipolar transistors, diodes, ESD protection devices, MOSFETs, SiC MOSFETs, GaN FETs, and logic ICs.",UNCLEAR
"A moderate number of hotspots, possibly aligned along the X or Y axis, indicating localized metal layer density issues. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm簡, which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"This baijiu industry (distilled spirits) picture showcases a bottle cap with noticeable ""scratched surface"" defects.\n\nThe cap of this baijiu industry (distilled spirits) bottle exhibits ""misaligned tamper-evident band"" defects, affecting its overall appearance and functionality.",UNCLEAR
"The image provided depicts a monocrystalline solar cell within the solar cell sector, showcasing a flawless structure devoid of any defects.",UNCLEAR
"Interior Wall Decoration and Building Material Manufacturing. Dirty spots refer to localized dirt or contamination on the wall surface, typically formed by the adhesion of dust, grease, or other dark substances. Stains may exhibit streaks running downwards. Small, pinpoint concavities.",UNCLEAR
"Tiles. Defects include air bubbles, small black spots indicating pores on the tiles. Irregular spotted pores with slight color variation compared to surrounding glaze. Smooth surface with texture, no defects.",UNCLEAR
"Few hotspots detected, possibly isolated defects, but could still impact critical circuit regions. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm², which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"A moderate number of hotspots, possibly aligned along the X or Y axis, indicating localized metal layer density issues. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm簡, which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"Tiles. Defined by vertical linear texture. Free of defects.

Bathroom fixtures. Characterized by a small black spot, indicating a pore on the tile. Irregular spotted pores with slight color variation from surrounding glaze.

Building materials. Showcasing vertical linear texture. No defects present.",UNCLEAR
"Soft OLED Panel: Particle Defects are small black dots dispersed on a background of grayish-white granules, indicating particle contamination. These defects can affect image quality by causing dark spots or irregularities in the display, often resulting from impurities during manufacturing or handling processes. The presence of these particles may lead to visual distractions and reduced overall performance of the OLED panel.",UNCLEAR
"Soft OLED Panel. Particle Defects appear as small black dots against a gray-white grainy background, indicating the presence of impurities within the panel. These defects can affect display quality by causing pixel discoloration or irregularities in brightness.",UNCLEAR
"Soft OLED Panel: White large circular spot in the image. A defect characterized by an irregularly shaped white spot with varying shades, creating a layered appearance resembling a petal or fuzzy edge.",UNCLEAR
"Structural Steel Automotive Mechanical Manufacturing. Rolled-in Scale refers to the presence of unevenly distributed pressed oxide layers on the surface, exhibiting a non-uniform raised and depressed structure. In hot-rolled strip steel of Structural Steel Automotive Mechanical Manufacturing, localized slight protrusions are observed in certain areas of the oxide layer.",UNCLEAR
"Soft OLED Panel. Edge Defect: Physical damage occurring at the edge of the OLED panel, such as cracks or warping, typically caused by stress concentration or damage during the packaging process. The irregularly shaped edge defect exhibits varying depths and distinct layering, resembling circular, petal-like, or jagged edges.",UNCLEAR
"3. In this image of a steel pipe weld inspection, defects such as overlap are visible, occurring when material folds or overlaps during the forging or welding process without proper fusion.",UNCLEAR
"Flexible OLED Panel. Uniformly black with no defects, the panel exhibits a smooth and flawless surface. However, occasional pixel burn-in issues may occur, leading to image retention problems over time.",UNCLEAR
"1. In this image of a steel pipe weld inspection, defects can be seen, one of which is overlap. Overlap happens when material folds or overlaps during the process of forging or welding, but does not fuse correctly.",UNCLEAR
"Soft OLED Panel: A soft OLED panel is a type of organic light-emitting diode display with a flexible substrate, allowing for curved or foldable screen designs. However, due to its flexible nature, it is prone to image distortion and color shift when pressure is applied unevenly, affecting overall display quality.",UNCLEAR
"A moderate number of hotspots, possibly aligned along the X or Y axis, indicating localized metal layer density issues. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm簡, which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"This close-up image showcases a gear tooth with a prominent oxidation layer at the bottom surface. The oxidation appears as dark patches and discoloration on the tooth's underside, indicating potential wear and corrosion. The defect extends along the entire bottom edge of the tooth, suggesting prolonged exposure to harsh conditions or inadequate lubrication. Proper maintenance and inspection are essential to prevent further damage and ensure the gear's optimal performance.",UNCLEAR
The image depicting a polycrystalline solar cell in the solar cell industry exhibits a flawless structure devoid of any defects.,UNCLEAR
"This aluminum processing industry picture displays an aluminum profile exhibiting an orange peel defect, which is a surface irregularity resulting from improper manufacturing processes or material quality issues.",UNCLEAR
"A moderate number of hotspots, possibly aligned along the X or Y axis, indicating localized metal layer density issues. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm², which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"3. Within the inspection image of this weld on a steel pipe, there are defects present, specifically overlap, which occurs when material folds or overlaps during the processes of forging or welding but does not fuse correctly.",UNCLEAR
"This baijiu industry (distilled spirits) picture displays a cap featuring a ""cap breakpoint"" flaw, which is characterized by a visible break or crack in the cap material. The defect could potentially compromise the seal integrity of the bottle, leading to potential leakage or contamination issues.",UNCLEAR
"Structural Steel Automotive Mechanical Manufacturing. Crazing refers to the appearance of a fine network of cracks on the surface, often irregularly distributed. Hot-rolled strip steel in structural steel automotive mechanical manufacturing exhibits fine, tortuous cracks resembling those seen in dry soil due to rapid cooling or excessive internal stresses.",UNCLEAR
"This baijiu industry (distilled spirits) picture displays a bottle with a wrinkled label and air bubbles trapped beneath the label, indicating defects in the labeling process.",UNCLEAR
"3. In this image showcasing the inspection of steel pipe welds, various defects, including cracks, are visible. Cracks are linear imperfections that can be observed on the surface or within the material, often arising due to stress concentration or residual stress generated during the cooling stage.",UNCLEAR
"A perfectly crafted semiconductor that could serve as a bipolar transistor, diode, ESD protection device, MOSFET, SiC MOSFET, GaN FET, or logic IC.",UNCLEAR
"This baijiu industry (distilled spirits) picture displays a cap with noticeable ""scratched and dented"" defects, affecting its overall appearance and functionality. The cap damage includes visible marks and imperfections, detracting from the premium quality expected in the packaging of baijiu products.",UNCLEAR
"Tiles. Defect: crack, a thin line, indicating a crack on the surface. Irregular crack with slight color variation compared to surrounding glaze. Vertical grain texture.",UNCLEAR
"Soft OLED Panel. Grainy distribution of particles with a prominent light area in the center. The edge defect occurs as physical damage at the edge of the OLED panel, such as cracks or warping, typically caused by stress concentration or damage during the packaging process. Irregular edge shape with varying depths and distinct layering, exhibiting shapes like arcs, petals, or fringes.",UNCLEAR
"Few hotspots detected, possibly isolated defects, but could still impact critical circuit regions. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm², which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
"A robust and reliable semiconductor ready to serve as a GaN FET, SiC MOSFET, MOSFET, diode, bipolar transistor, ESD protection device, or logic IC.",UNCLEAR
"This baijiu industry (distilled spirits) picture displays a cap with ""misalignment of embossing"" defects. The cap exhibits a ""cracked plastic seal"" flaw, indicating a quality issue in the packaging.",UNCLEAR
"Aircraft industry: Aircraft paint peeling off: Similar to paint peeling, this indicates areas where paint has peeled off or worn out. Surface scratches or friction marks exposing bare metal.",UNCLEAR
"Few hotspots detected, possibly isolated defects, but could still impact critical circuit regions. Hotspots are relatively large (>50nm), requiring additional Optical Proximity Correction (OPC) adjustments. Total hotspot area exceeds 5000nm簡, which could affect lithography imaging quality and overall manufacturing yield. Hotspots are randomly distributed without clear patterns, indicating scattered defect points. Hotspot orientation is random, likely related to process errors or etching deviations. These hotspots may be caused by lithography resolution limits, particularly in 193nm Deep Ultraviolet (DUV) lithography technology. Variations in photoresist thickness could exacerbate exposure deviations in some hotspot areas, leading to non-uniform imaging effects.",UNCLEAR
